4,orders,service_memory,1,"[('orders', 0.5405420020268137)]",{'orders'}
4,user,service_memory,2,"[('front-end', 0.4063975613909172), ('user', 0.23097319490014082)]","{'catalogue', 'user', 'orders'}"
4,carts,service_memory,1,"[('carts', 0.3287190191662041)]","{'carts', 'payment'}"
4,payment,service_memory,6,"[('front-end', 0.40269651916593796), ('catalogue', 0.2167769609065538), ('user', 0.14668705961191347), ('orders', 0.14267793756518665), ('carts', 0.09116152275040793), ('payment', 0.0)]","{'catalogue', 'carts', 'user', 'orders'}"
4,shipping,service_memory,3,"[('front-end', 0.349988370919017), ('orders', 0.2389505679615948), ('shipping', 0.16166107813707)]","{'catalogue', 'shipping', 'carts', 'user', 'orders'}"
5,front-end,svc_latency,1,"[('front-end', 0.3014412135994915)]","{'catalogue', 'payment', 'front-end', 'carts', 'user', 'orders'}"
5,catalogue,svc_latency,1,"[('catalogue', 0.5405398932771217)]",{'catalogue'}
5,orders,svc_latency,1,"[('orders', 0.3540066822633017)]","{'shipping', 'payment', 'carts', 'user', 'orders'}"
5,user,svc_latency,1,"[('user', 0.4367381601845278)]","{'user', 'orders'}"
5,carts,svc_latency,2,"[('front-end', 0.3065459844303672), ('carts', 0.2564274332672696)]","{'front-end', 'carts', 'orders'}"
5,payment,svc_latency,3,"[('orders', 0.37090584117269854), ('front-end', 0.3152720530910478), ('payment', 0.3138221057362538)]","{'payment', 'orders'}"
5,shipping,svc_latency,4,"[('front-end', 0.3965284000810173), ('orders', 0.22288487242044586), ('carts', 0.21482754881162647), ('shipping', 0.1657591786869103)]","{'shipping', 'carts', 'orders'}"
5,catalogue,service_cpu,1,"[('catalogue', 0.5405398932771217)]",{'catalogue'}
5,orders,service_cpu,1,"[('orders', 0.5405420020268137)]",{'orders'}
5,user,service_cpu,1,"[('user', 0.5405396329646596)]",{'user'}
5,carts,service_cpu,1,"[('carts', 0.3851445024640242)]","{'carts', 'orders'}"
5,payment,service_cpu,6,"[('front-end', 0.32832842278703733), ('catalogue', 0.19149996730186397), ('orders', 0.11110478389626642), ('user', 0.06085363525811657), ('carts', 0.029131587824445734), ('payment', 0.0)]","{'catalogue', 'front-end', 'carts', 'user', 'orders'}"
5,shipping,service_cpu,3,"[('front-end', 0.2714351013314501), ('orders', 0.19197704464294926), ('shipping', 0.1525067772799274)]","{'catalogue', 'shipping', 'front-end', 'carts', 'user', 'orders'}"
5,catalogue,service_memory,2,"[('front-end', 0.3160224042573746), ('catalogue', 0.20463926430561516)]","{'catalogue', 'front-end', 'carts', 'user', 'orders'}"
5,orders,service_memory,4,"[('front-end', 0.33508939419026573), ('catalogue', 0.11677228452891916), ('carts', 0.10410904165157783), ('orders', 0.08960496927376674)]","{'catalogue', 'front-end', 'carts', 'user', 'orders'}"
5,user,service_memory,5,"[('front-end', 0.31694611559608754), ('orders', 0.13065618215045788), ('catalogue', 0.11485566336707359), ('carts', 0.10178568293637082), ('user', 0.06635031813074216)]","{'catalogue', 'front-end', 'carts', 'user', 'orders'}"
